epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9579,3.24456,13.4778,0.01691,0,0,0,0,2.60364,8.60597,0.01429,0.00013,0.00013,0.00013
2,14.4129,3.12554,11.5145,0.01594,0,0,0,0,2.59062,8.60016,0.01419,0.000268663,0.000268663,0.000268663
3,16.9786,2.84135,10.5453,0.01474,0,0,0,0,2.58858,8.60104,0.0142,0.000405941,0.000405941,0.000405941
4,19.4608,2.70517,9.6105,0.01372,0,0,0,0,2.59411,8.61268,0.01424,0.000541832,0.000541832,0.000541832
5,22.0487,2.52673,9.44109,0.01235,0,0,0,0,2.59939,7.15105,0.01425,0.000676338,0.000676338,0.000676338
6,24.9222,2.44038,8.83162,0.01201,0,0,0,0,2.60566,5.61473,0.01428,0.000809458,0.000809458,0.000809458
7,27.6908,2.25989,8.15346,0.0106,0,0,0,0,2.61152,4.28689,0.01435,0.000941191,0.000941191,0.000941191
8,30.2817,2.30017,7.78621,0.01028,0,0,0,0,2.60296,4.0493,0.01425,0.00096535,0.00096535,0.00096535
9,33.0244,2.28035,7.2591,0.01034,0,0,0,0,2.56349,4.06603,0.01397,0.0009604,0.0009604,0.0009604
10,35.7697,2.23815,6.67041,0.0099,0.00167,0.16936,0.01591,0.00724,2.24343,3.83933,0.01171,0.00095545,0.00095545,0.00095545
11,38.6381,2.09805,6.57175,0.00969,0.00319,0.50114,0.06779,0.02399,2.13587,3.46906,0.01112,0.0009505,0.0009505,0.0009505
12,41.6734,2.1788,5.91184,0.00942,0.28227,0.09474,0.09988,0.0426,2.09535,3.09155,0.01081,0.00094555,0.00094555,0.00094555
13,45.1756,2.07882,5.86453,0.00947,0.32208,0.06478,0.11615,0.04171,2.0429,3.08263,0.0105,0.0009406,0.0009406,0.0009406
14,48.4016,2.03522,5.49102,0.00923,0.16118,0.14882,0.1728,0.07522,1.76955,2.80041,0.00914,0.00093565,0.00093565,0.00093565
15,50.9459,1.98092,5.35521,0.00919,0.33883,0.15569,0.21979,0.09075,1.89423,2.63392,0.00988,0.0009307,0.0009307,0.0009307
16,53.556,2.02521,4.98845,0.00955,0.22343,0.38103,0.21492,0.08462,1.95926,2.63273,0.01008,0.00092575,0.00092575,0.00092575
